ISIN,TckrSymb,COMPANYNAME,NSE:
INE117A01022,ABB,ABB INDIA LIMITED,NSE:ABB
INE208C01025,AEGISLOG,AEGIS LOGISTICS LTD.,NSE:AEGISLOG
INE885A01032,ARE&M,Amara Raja Energy & Mobility L,NSE:ARE&M
INE432A01017,AMBALALSA,AMBALAL SARABHAI ENTERPRISES L,NSE:AMBALALSA
INE714B01016,ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,NSE:ANDHRAPET
INE436A01026,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCT,NSE:ANSALAPI
INE096A01010,UTIQUE,UTIQUE ENTERPRISES LIMITED,NSE:UTIQUE
INE957C01019,ARUNAHTEL,ARUNA HOTELS LTD.,NSE:ARUNAHTEL
INE032A01023,BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,NSE:BOMDYEING
INE363A01022,ASIANHOTNR,ASIAN HOTELS (NORTH) LIMITED,NSE:ASIANHOTNR
INE100A01010,ATUL,ATUL LTD.,NSE:ATUL
INE447A01015,ATVPR,ATV PROJECTS INDIA LTD.,NSE:ATVPR
INE193E01025,BAJAJELEC,BAJAJ ELECTRICALS LTD.,NSE:BAJAJELEC
INE306A01021,BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LIMITED,NSE:BAJAJHIND
INE451A01017,FORCEMOT,FORCE MOTORS LTD.,NSE:FORCEMOT
INE296A01032,BAJFINANCE,BAJAJ FINANCE LIMITED,NSE:BAJFINANCE
INE119A01028,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,NSE:BALRAMCHIN
INE213C01025,BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.,NSE:BANCOINDIA
INE055A01016,ABREL,ADITYA BIRLA REAL ESTATE LIMIT,NSE:ABREL
INE459A01010,BANARISUG,BANNARI AMMAN SUGARS LTD.,NSE:BANARISUG
INE373A01013,BASF,BASF INDIA LTD.,NSE:BASF
INE176A01028,BATAINDIA,BATA INDIA LTD.,NSE:BATAINDIA
INE258A01016,BEML,BEML LTD.,NSE:BEML
INE263A01024,BEL,BHARAT ELECTRONICS LTD.,NSE:BEL
INE922A01025,BEPL,BHANSALI ENGINEERING POLYMERS,NSE:BEPL
INE819C01011,BIHSPONG,BIHAR SPONGE IRON LTD.,NSE:BIHSPONG
INE071A01013,BINANIIND,BINANI INDUSTRIES LTD.,NSE:BINANIIND
INE800A01015,BIRLACABLE,Birla Cable Limited,NSE:BIRLACABLE
INE472A01039,BLUESTARCO,BLUE STAR LTD.,NSE:BLUESTARCO
INE131C01011,DISAQ,DISA INDIA LTD.,NSE:DISAQ
INE418C01012,QUESTCAP,QUEST CAPITAL MARKETS LIMITED,NSE:QUESTCAP
INE110A01019,BPL,BPL LTD.,NSE:BPL
INE959C01023,OAL,ORIENTAL AROMATICS LIMITED,NSE:OAL
INE281A01026,CENTEXT,CENTURY EXTRUSIONS LTD.,NSE:CENTEXT
INE486A01021,CESC,CESC LTD.,NSE:CESC
INE085A01013,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICAL,NSE:CHAMBLFERT
INE302A01020,EXIDEIND,EXIDE INDUSTRIES LTD.,NSE:EXIDEIND
INE059A01026,CIPLA,CIPLA LTD.,NSE:CIPLA
INE303A01010,DICIND,DIC INDIA LTD.,NSE:DICIND
INE007A01025,CRISIL,CRISIL LTD.,NSE:CRISIL
INE067A01029,CGPOWER,CG Power and Industrial Soluti,NSE:CGPOWER
INE016A01026,DABUR,DABUR INDIA LTD.,NSE:DABUR
INE495A01022,DALMIASUG,DALMIA BHARAT SUGAR AND INDUST,NSE:DALMIASUG
INE034A01011,ARVIND,ARVIND LTD.,NSE:ARVIND
INE257A01026,BHEL,BHARAT HEAVY ELECTRICALS LTD.,NSE:BHEL
INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORPORATIO,NSE:HINDPETRO
INE039A01010,IFCI,IFCI LTD.,NSE:IFCI
INE153A01019,MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,NSE:MTNL
INE103A01014,MRPL,MANGALORE REFINERY & PETROCHEM,NSE:MRPL
INE178A01016,CHENNPETRO,CHENNAI PETROLEUM CORPORATION,NSE:CHENNPETRO
INE062A01020,SBIN,STATE BANK OF INDIA,NSE:SBIN
INE114A01011,SAIL,STEEL AUTHORITY OF INDIA LTD.,NSE:SAIL
INE280A01028,TITAN,TITAN COMPANY LIMITED,NSE:TITAN
INE008A01015,IDBI,IDBI BANK LTD.,NSE:IDBI
INE500A01029,DCW,DCW LTD.,NSE:DCW
INE041A01016,DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,NSE:DHAMPURSUG
INE591D01014,DIAMINESQ,DIAMINES & CHEMICALS LTD.,NSE:DIAMINESQ
INE280B01018,ELANTAS,ELANTAS BECK INDIA LTD.,NSE:ELANTAS
INE089A01031,DRREDDY,DR.REDDYS LABORATORIES LTD.,NSE:DRREDDY
INE126A01031,EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,NSE:EIDPARRY
INE199A01012,PGHL,PROCTER & GAMBLE HEALTH LIMITE,NSE:PGHL
INE086A01029,ELECTCAST,ELECTROSTEEL CASTINGS LTD.,NSE:ELECTCAST
INE284A01012,ESABINDIA,ESAB INDIA LTD.,NSE:ESABINDIA
INE255A01020,EPL,EPL LIMITED,NSE:EPL
INE778B01029,ESTER,ESTER INDUSTRIES LTD.,NSE:ESTER
INE512A01016,FGP,FGP LTD.,NSE:FGP
INE160F01013,PHCAP,PH CAPITAL LTD.,NSE:PHCAP
INE235A01022,FINCABLES,FINOLEX CABLES LTD.,NSE:FINCABLES
INE515A01019,COCKERILL,JOHN COCKERILL INDIA LIMITED,NSE:COCKERILL
INE516A01017,UFLEX,UFLEX LTD.,NSE:UFLEX
INE519A01011,FOSECOIND,FOSECO INDIA LTD.,NSE:FOSECOIND
INE973A01010,GOLDENTOBC,GOLDEN TOBACCO LTD.,NSE:GOLDENTOBC
INE388A01029,GANESHBE,GANESH BENZOPLAST LTD.,NSE:GANESHBE
INE085D01033,METROGLOBL,METROGLOBAL LIMITED,NSE:METROGLOBL
INE043A01012,GTL,GTL LTD.,NSE:GTL
INE260B01028,GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,NSE:GODFRYPHLP
INE233A01035,GODREJIND,GODREJ INDUSTRIES LTD.,NSE:GODREJIND
INE531A01024,KANSAINER,KANSAI NEROLAC PAINTS LTD.,NSE:KANSAINER
INE300A01016,GOODRICKE,GOODRICKE GROUP LTD.,NSE:GOODRICKE
INE533A01012,GOODYEAR,GOODYEAR INDIA LTD.,NSE:GOODYEAR
INE537A01013,GTNINDS,GTN INDUSTRIES LTD.,NSE:GTNINDS
INE539A01019,GHCL,GHCL LTD.,NSE:GHCL
INE538A01037,GFLLIMITED,GFL LIMITED,NSE:GFLLIMITED
INE540A01017,GLFL,GUJARAT LEASE FINANCING LTD.,NSE:GLFL
INE236A01020,HCL-INSYS,HCL INFOSYSTEMS LTD.,NSE:HCL-INSYS
INE040A01034,HDFCBANK,HDFC BANK LTD.,NSE:HDFCBANK
INE158A01026,HEROMOTOCO,HERO MOTOCORP LTD.,NSE:HEROMOTOCO
INE548A01028,HFCL,HFCL LIMITED,NSE:HFCL
INE019C01026,HSCL,Himadri Speciality Chemical Lt,NSE:HSCL
INE549A01026,HCC,HINDUSTAN CONSTRUCTION CO.LTD.,NSE:HCC
INE345A01011,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.L,NSE:HINDOILEXP
INE415A01038,AGI,AGI GREENPAC LIMITED,NSE:AGI
INE267A01025,HINDZINC,HINDUSTAN ZINC LTD.,NSE:HINDZINC
INE353A01023,NDLVENTURE,NDL Ventures Limited,NSE:NDLVENTURE
